,start_station_name,Trip Count
1587,W 21 St & 6 Ave,131679
1718,West St & Chambers St,126290
495,Broadway & W 58 St,117797
286,6 Ave & W 33 St,109542
8,1 Ave & E 68 St,108412
461,Broadway & E 14 St,101115
485,Broadway & W 25 St,100784
1511,University Pl & E 14 St,100089
463,Broadway & E 21 St,97958
1603,W 31 St & 7 Ave,96157
